Time Step,Label Index,Name (NA),Voxel count,Volume (nmÂ³),Center Of Mass Index Z,Feret Max (nm),Sphericity,Cross-Indexing,Center Of Mass Z (nm),,,Label Index,Name (NA),Center Of Mass Z (nm),
0,1,251214-Air ROI 187,26,26000,389,57.44546668,0.953140114,9,3888.461538,,,1,251214-Air ROI 208,5384.363636,
0,2,251214-Air ROI 187,31,31000,388,73.48373156,0.809134065,9,3881.612903,,,2,251214-Air ROI 207,3989.35,
0,3,251214-Air ROI 76,38,38000,442,69.99677611,0.882730665,33,4416.315789,,,3,251214-Air ROI 194,2859.338235,
0,4,251214-Air ROI 184,44,44000,499,67.04842223,0.900570847,12,4994.318182,,,4,251214-Air ROI 192,3938.895028,
0,5,251214-Air ROI 89,46,46000,485,67.08136887,0.949608141,22,4852.391304,,,5,251214-Air ROI 191,3044.600939,
0,6,251214-Air ROI 74,46,46000,413,85.43948411,0.846472613,35,4128.695652,,,6,251214-Air ROI 190,3329.727273,
0,7,251214-Air ROI 188,50,50000,384,78.09488223,0.806169506,8,3841.2,,,7,251214-Air ROI 189,3391.652174,
0,8,251214-Air ROI 194,53,53000,285,78.08006216,0.87129959,3,2849.245283,,,8,251214-Air ROI 188,3843.050847,
0,9,251214-Air ROI 190,54,54000,334,74.82406002,0.926768951,6,3338.703704,,,9,251214-Air ROI 187,3884.736842,
0,10,251214-Air ROI 184,54,54000,498,94.84217731,0.757678794,12,4981.666667,,,10,251214-Air ROI 186,4345.474453,
0,11,251214-Air ROI 74,56,56000,413,86.01852261,0.748986925,35,4133.392857,,,11,251214-Air ROI 185,4767.987421,
0,12,251214-Air ROI 190,56,56000,332,94.84200625,0.795366769,6,3321.071429,,,12,251214-Air ROI 184,4987.346939,
0,13,251214-Air ROI 208,60,60000,540,72.78315694,0.922967739,1,5395.666667,,,13,251214-Air ROI 183,5517.65873,
0,14,251214-Air ROI 71,62,62000,327,74.8241195,0.908116846,38,3268.387097,,,14,251214-Air ROI 182,7144.423592,
0,15,251214-Air ROI 106,62,62000,391,103.4406193,0.783411486,18,3912.580645,,,15,251214-Air ROI 171,5171.163793,
0,16,251214-Air ROI 89,63,63000,485,67.08154143,0.920017112,22,4853.492063,,,16,251214-Air ROI 165,4900.108108,
0,17,251214-Air ROI 104,64,64000,443,83.64514464,0.863596033,19,4428.59375,,,17,251214-Air ROI 142,6079.665493,
0,18,251214-Air ROI 106,65,65000,392,83.63489197,0.887355004,18,3921.538462,,,18,251214-Air ROI 106,3917.165354,
0,19,251214-Air ROI 186,68,68000,435,81.23929514,0.88467991,10,4349.558824,,,19,251214-Air ROI 104,4430.784314,
0,20,251214-Air ROI 188,68,68000,384,94.33941708,0.83743298,8,3844.411765,,,20,251214-Air ROI 91,5325.533063,
0,21,251214-Air ROI 186,69,69000,434,80.594606,0.890964539,10,4341.449275,,,21,251214-Air ROI 90,6272.570806,
